xID,yID,Div,Size0,Size4,Size30
786,2640,0,481,756,906
800,1060,0,387,516,713
829,2158,2,619,869,-1
855,361,2,713,981,-1
929,2560,0,415,603,731
976,1470,0,435,593,730
1005,2409,2,515,824,-1
1035,2721,1,426,627,-1
1042,2888,1,466,638,-1
1048,1183,2,551,900,-1
1130,1056,0,463,654,809
1145,2283,1,485,792,-1
1201,1175,0,475,717,813
1233,1136,2,415,648,-1
1238,291,1,493,745,-1
1265,2057,0,367,571,660
1272,1962,2,535,895,-1
1315,1101,1,472,648,-1
1322,2733,0,413,632,793
1327,1835,0,414,617,704
1335,749,0,517,737,910
1363,2736,0,392,558,733
1407,1521,1,466,631,-1
1425,1418,2,549,889,-1
1421,2882,2,546,887,-1
1424,518,0,361,571,743
1429,1033,2,543,791,-1
1425,1753,0,424,633,785
1438,982,0,456,677,862
1451,571,2,808,1275,-1
1455,2202,1,669,968,-1
1456,1088,1,439,627,-1
1468,1645,2,573,939,-1
1476,1338,2,577,847,-1
1503,1302,0,388,563,662
1513,572,1,421,663,-1
1519,2972,0,321,452,607
1518,232,2,577,876,-1
1525,1941,0,463,585,692
1541,1251,1,495,735,-1
1539,1878,0,408,601,658
1547,1801,2,586,899,-1
1551,2780,0,471,654,773
1561,2902,2,911,1489,-1
1579,1733,0,378,545,698
1599,1053,1,476,694,-1
1597,2040,0,367,502,641
1616,2095,0,330,449,554
1625,1794,0,616,877,942
1625,2489,0,363,562,689
1634,2305,2,490,736,-1
1679,1356,2,541,904,-1
1679,77,2,477,754,-1
1685,927,2,503,912,-1
1684,2964,2,403,675,-1
1699,2557,0,460,743,758
1711,784,2,568,870,-1
1726,2191,0,585,806,917
1735,1758,0,341,479,520
1741,2448,0,391,576,727
1754,353,2,594,794,-1
1757,2830,0,409,613,690
1783,1943,2,583,944,-1
1812,2492,2,585,902,-1
1818,2423,2,572,847,-1
1815,1686,0,417,610,798
1822,158,0,480,678,841
1832,2953,0,411,600,735
1833,2645,0,517,862,980
1838,262,0,332,451,674
1872,1609,1,584,864,-1
1875,714,1,472,701,-1
1888,2061,0,420,509,618
1900,452,2,583,919,-1
1909,286,0,584,884,1002
1909,1148,2,574,959,-1
1914,2193,1,497,731,-1
1914,1295,2,471,848,-1
1919,2795,1,421,625,-1
1951,823,1,558,734,-1
1962,1213,2,604,937,-1
1959,2185,0,402,538,730
1976,753,2,553,789,-1
1986,1413,2,770,1277,-1
77,1264,0,474,827,843
77,412,0,402,711,675
78,1663,2,741,1219,-1
150,2712,0,617,987,1011
177,1041,0,483,813,801
198,791,0,491,808,757
207,1974,0,435,715,787
242,1733,0,488,867,832
269,1411,0,436,635,691
279,1003,0,480,740,760
315,914,2,488,745,-1
325,1101,0,639,1061,1010
355,1475,0,417,649,619
444,1331,0,546,898,841
475,1057,0,515,767,780
566,1846,0,489,789,786
